i,hs2,v
48,35,1046.838995611179
48,36,7385.130993545055
48,37,13.14799948036671
48,38,47386.43833064602
48,39,232095.7659127098
48,40,47799.78717453952
48,41,108.4260004851967
48,42,6434.246994217974
48,43,82.99400174967013
48,44,20648.07090312964
48,45,149.7739977966994
48,46,156.0590002336539
48,47,12152.80472196639
48,48,68875.78435941844
48,49,21531.18155830249
48,50,.882999986410141
48,51,101.2089988812804
48,52,9470.941046406166
48,53,96.77500034868717
48,54,1423.474973242031
48,55,172.5689991770778
48,56,591.087011608528
48,57,468.5209971648874
48,58,344.2459966297029
48,59,853.1730019298848
48,60,122.803004026413
48,61,24867.08088559797
48,62,29290.0869738136
48,63,68814.40126870689
48,64,8631.696999923908
48,65,18000.96019186405
48,66,20.61100019409787
48,67,42.55699929327238
48,68,24879.31832312921
48,69,2116.585984236561
